rank,name,author,link,star,fork,language,issues,description,last_commit
1,open-source-flash,open-source-flash,https://github.com/open-source-flash/open-source-flash,7364,115,ActionScript,26,Petition to open source Flash and Shockwave spec,2021-02-24T08:44:01Z
2,VVVVVV,TerryCavanagh,https://github.com/TerryCavanagh/VVVVVV,6919,555,ActionScript,23,The source code to VVVVVV! http://thelettervsixtim.es/,2024-08-09T18:52:41Z
3,Starling-Framework,Gamua,https://github.com/Gamua/Starling-Framework,2833,820,ActionScript,72,The Cross Platform Game Engine,2024-07-25T07:39:07Z
4,webcamjs,jhuckaby,https://github.com/jhuckaby/webcamjs,2494,1109,ActionScript,151,HTML5 Webcam Image Capture Library with Flash Fallback,2020-04-22T07:50:12Z
5,as3corelib,mikechambers,https://github.com/mikechambers/as3corelib,1493,446,ActionScript,104,"An ActionScript 3 Library that contains a number of classes and utilities for working with ActionScript? 3. These include classes for MD5 and SHA 1 hashing, Image encoders, and JSON serialization as well as general String, Number and Date APIs.",2015-08-31T21:13:33Z
6,scratch-flash,scratchfoundation,https://github.com/scratchfoundation/scratch-flash,1330,512,ActionScript,0,Open source version of the Scratch 2.0 project editor.  This is the basis for the online and offline versions of Scratch found on the website.,2019-02-05T18:30:34Z
7,mapgen2,amitp,https://github.com/amitp/mapgen2,1300,210,ActionScript,1,"Map generator for games. Generates island maps with a focus on mountains, rivers, coastlines.",2017-08-24T04:32:19Z
8,flixel,AdamAtomic,https://github.com/AdamAtomic/flixel,1132,193,ActionScript,68,"flixel is a free Actionscript (Flash) library that I distilled from a variety of Flash games that I've worked on over the last couple years, including Gravity Hook, Fathom and Canabalt.  It's primary function is to provide some useful base classes that you can extend to make your own game objects.",2015-11-05T01:35:36Z
9,as3-signals,robertpenner,https://github.com/robertpenner/as3-signals,1056,201,ActionScript,4,"Signals is a new approach for AS3 events, inspired by C# events and signals/slots in Qt.",2023-12-19T17:01:37Z
10,robotlegs-framework,robotlegs,https://github.com/robotlegs/robotlegs-framework,966,261,ActionScript,14,An ActionScript 3 application framework for Flash and Flex,2020-06-16T09:09:56Z
11,bfxr,increpare,https://github.com/increpare/bfxr,962,90,ActionScript,9,Flash + AIR sound effects generator.   Based on Sfxr.,2021-06-17T15:56:58Z
12,feathersui-starling,feathersui,https://github.com/feathersui/feathersui-starling,914,386,ActionScript,171,User interface components for Starling Framework and Adobe AIR,2024-07-31T21:06:16Z
13,malware-samples,InQuest,https://github.com/InQuest/malware-samples,878,192,ActionScript,0,"A collection of malware samples and relevant dissection information, most probably referenced from http://blog.inquest.net",2024-03-26T03:51:41Z
14,flashls,mangui,https://github.com/mangui/flashls,750,264,ActionScript,167,"HLS Flash Plugin/Player (Chromeless,OSMF,FlowPlayer,mediaelement.js,video.js,Clappr)",2018-11-19T15:02:08Z
15,juicy-breakout,grapefrukt,https://github.com/grapefrukt/juicy-breakout,642,123,ActionScript,0,None,2017-03-24T07:51:44Z
16,away3d-core-fp11,away3d,https://github.com/away3d/away3d-core-fp11,640,275,ActionScript,100,Away3D engine for Flash Player 11,2024-06-03T14:06:14Z
17,minimalcomps,minimalcomps,https://github.com/minimalcomps/minimalcomps,617,176,ActionScript,12,Minimal ActionScript 3.0 UI Components for Flash,2021-06-05T02:06:39Z
18,emulator,nesbox,https://github.com/nesbox/emulator,593,246,ActionScript,90,"Emulator of NES, Super Nintendo, Sega Mega Drive, GameBoy video consoles",2015-08-02T12:15:51Z
19,boscaceoil,TerryCavanagh,https://github.com/TerryCavanagh/boscaceoil,580,71,ActionScript,50,A simple music making program,2024-07-11T20:05:39Z
20,Fanvas,Tencent,https://github.com/Tencent/Fanvas,548,196,ActionScript,0,Fanvas，一键把swf转为html5 canvas动画。 Fanvas is a tool which can turn flash into canvas animation with just one key!,2019-10-24T03:48:59Z
21,Citrus-Engine,DaVikingCode,https://github.com/DaVikingCode/Citrus-Engine,548,231,ActionScript,65,Modern AS3 Game Engine,2022-10-30T18:52:29Z
22,as3swf,claus,https://github.com/claus/as3swf,526,127,ActionScript,13,"Low level Actionscript 3 library to parse, create, modify and publish SWF files.",2018-02-21T01:19:53Z
23,jQuery-webcam,infusion,https://github.com/infusion/jQuery-webcam,516,272,ActionScript,34,A webcam wrapper plugin for jQuery,2024-04-04T12:36:16Z
24,VirtualCockroach,FerryYoungFan,https://github.com/FerryYoungFan/VirtualCockroach,493,44,ActionScript,24,"一只蟑螂桌面“宠物” Cockroach Desktop ""Pet""",2019-09-24T09:47:41Z
25,Ash,richardlord,https://github.com/richardlord/Ash,446,95,ActionScript,5,An Actionscript 3 entity system framework for game development,2017-04-16T17:52:51Z
26,GreenSock-AS3,greensock,https://github.com/greensock/GreenSock-AS3,409,145,ActionScript,3,"Public repository for GreenSock's ActionScript 3 libraries like GSAP (TweenLite, TweenMax, etc.) and LoaderMax. For AS2, see the GreenSock-AS2 repository and for JavaScript, see the GreenSock-JS repository. Main site: http://www.greensock.com",2019-05-29T16:49:47Z
27,FlashPunk,useflashpunk,https://github.com/useflashpunk/FlashPunk,387,134,ActionScript,61,"A free ActionScript 3 library designed for developing 2D Flash games. It provides you with a fast, clean framework to prototype and develop your games in. This means that most of the dirty work (timestep, animation, input, and collision to name a few) is already coded for you and ready to go, giving you more time and energy to concentrate on the design and testing of your game.",2016-03-31T05:56:47Z
28,flump,tconkling,https://github.com/tconkling/flump,381,70,ActionScript,34,Exports Flash .FLAs to GPU-friendly formats,2020-01-27T18:53:00Z
29,Alternativa3D,AlternativaPlatform,https://github.com/AlternativaPlatform/Alternativa3D,374,125,ActionScript,9,Alternativa3D Flash GPU accelerated 3D engine,2024-05-03T15:09:55Z
30,Weave,WeaveTeam,https://github.com/WeaveTeam/Weave,369,70,ActionScript,0,Weave (Web-based Analysis and Visualization Environment),2019-01-06T02:11:59Z
31,royale-asjs,apache,https://github.com/apache/royale-asjs,367,116,ActionScript,243,Apache Royale ASJS,2024-07-29T09:19:29Z
32,Anodyne-1-Repo,analgesicproductions,https://github.com/analgesicproductions/Anodyne-1-Repo,363,34,ActionScript,1,Anodyne 1 Source Code,2024-06-04T22:57:49Z
