rank,name,author,link,star,fork,language,issues,description,last_commit
1,awesome-ios,vsouza,https://github.com/vsouza/awesome-ios,46660,6820,Swift,1,"A curated list of awesome iOS ecosystem, including Objective-C and Swift Projects",2024-07-22T12:55:47Z
2,Alamofire,Alamofire,https://github.com/Alamofire/Alamofire,40871,7529,Swift,38,Elegant HTTP Networking in Swift,2024-08-07T20:40:44Z
3,iina,iina,https://github.com/iina/iina,37381,2542,Swift,1623,The modern video player for macOS.,2024-08-11T02:06:08Z
4,ShadowsocksX-NG,shadowsocks,https://github.com/shadowsocks/ShadowsocksX-NG,32281,7953,Swift,308,Next Generation of ShadowsocksX,2023-03-29T02:14:51Z
5,swift-algorithm-club,kodecocodes,https://github.com/kodecocodes/swift-algorithm-club,28658,5002,Swift,31,"Algorithms and data structures in Swift, with explanations!",2024-05-09T19:16:57Z
6,Charts,ChartsOrg,https://github.com/ChartsOrg/Charts,27461,5977,Swift,865,Beautiful charts for iOS/tvOS/OSX! The Apple side of the crossplatform MPAndroidChart.,2024-08-05T10:26:18Z
7,MonitorControl,MonitorControl,https://github.com/MonitorControl/MonitorControl,27012,805,Swift,26,🖥 Control your display's brightness & volume on your Mac as if it was a native Apple Display. Use Apple Keyboard keys or custom shortcuts. Shows the native macOS OSDs.,2024-06-29T14:24:39Z
8,UTM,utmapp,https://github.com/utmapp/UTM,25884,1305,Swift,794,Virtual machines for iOS and macOS,2024-08-06T22:43:11Z
9,lottie-ios,airbnb,https://github.com/airbnb/lottie-ios,25564,3721,Swift,21,An iOS library to natively render After Effects vector animations,2024-08-10T17:32:20Z
10,Rectangle,rxhanson,https://github.com/rxhanson/Rectangle,25374,754,Swift,81,Move and resize windows on macOS with keyboard shortcuts and snap areas,2024-08-09T04:41:19Z
11,RxSwift,ReactiveX,https://github.com/ReactiveX/RxSwift,24279,4167,Swift,15,Reactive Programming in Swift,2024-08-05T23:29:38Z
12,vapor,vapor,https://github.com/vapor/vapor,24172,1430,Swift,87,💧 A server-side Swift HTTP web framework.,2024-08-11T02:13:06Z
13,stats,exelban,https://github.com/exelban/stats,23989,798,Swift,26,macOS system monitor in your menu bar,2024-08-04T11:14:04Z
14,Kingfisher,onevcat,https://github.com/onevcat/Kingfisher,23035,2637,Swift,144,"A lightweight, pure-Swift library for downloading and caching images from the web.",2024-08-08T12:44:23Z
15,SwiftyJSON,SwiftyJSON,https://github.com/SwiftyJSON/SwiftyJSON,22551,3421,Swift,114,The better way to deal with JSON data in Swift.,2024-08-10T17:21:37Z
16,Hero,HeroTransitions,https://github.com/HeroTransitions/Hero,21982,1720,Swift,38,Elegant transition library for iOS & tvOS,2024-02-06T02:04:31Z
17,Aerial,JohnCoates,https://github.com/JohnCoates/Aerial,20762,1049,Swift,70,Apple TV Aerial Screensaver for Mac,2024-04-28T14:31:37Z
18,CodeEdit,CodeEditApp,https://github.com/CodeEditApp/CodeEdit,20685,986,Swift,215,"CodeEdit App for macOS – Elevate your code editing experience. Open source, free forever.",2024-08-10T15:20:26Z
19,ReactiveCocoa,ReactiveCocoa,https://github.com/ReactiveCocoa/ReactiveCocoa,19928,3469,Swift,4,Cocoa framework and Obj-C dynamism bindings for ReactiveSwift.,2024-05-19T02:53:00Z
20,SnapKit,SnapKit,https://github.com/SnapKit/SnapKit,19868,1968,Swift,38,A Swift Autolayout DSL for iOS & OS X,2024-07-07T13:58:39Z
21,SwiftLint,realm,https://github.com/realm/SwiftLint,18526,2208,Swift,369,A tool to enforce Swift style and conventions.,2024-08-10T22:17:06Z
22,IQKeyboardManager,hackiftekhar,https://github.com/hackiftekhar/IQKeyboardManager,16415,2404,Swift,13,Codeless drop-in universal library allows to prevent issues of keyboard sliding up and cover UITextField/UITextView. Neither need to write any code nor any setup required and much more.,2024-08-05T16:34:46Z
23,OpenEmu,OpenEmu,https://github.com/OpenEmu/OpenEmu,16021,1246,Swift,332,🕹 Retro video game emulation for macOS,2024-07-16T08:50:12Z
