rank,name,author,link,star,fork,language,issues,description,last_commit
1,elixir,elixir-lang,https://github.com/elixir-lang/elixir,24740,3399,Elixir,22,"Elixir is a dynamic, functional language for building scalable and maintainable applications",2025-01-11T09:53:38Z
2,anoma,anoma,https://github.com/anoma/anoma,22102,771,Elixir,70,Reference implementation of Anoma,2025-01-10T20:15:12Z
3,phoenix,phoenixframework,https://github.com/phoenixframework/phoenix,21616,2892,Elixir,31,Peace of mind from prototype to production,2025-01-05T21:07:34Z
4,analytics,plausible,https://github.com/plausible/analytics,21106,1117,Elixir,15,"Simple, open source, lightweight (< 1 KB) and privacy-friendly web analytics alternative to Google Analytics.",2025-01-10T13:18:40Z
5,awesome-elixir,h4cc,https://github.com/h4cc/awesome-elixir,12747,1180,Elixir,1,"A curated list of amazingly awesome Elixir and Erlang libraries, resources and shiny things. Updates:",2024-12-28T15:55:46Z
6,electric,electric-sql,https://github.com/electric-sql/electric,7192,176,Elixir,98,Sync little subsets of your Postgres data into local apps and services.,2025-01-06T13:58:48Z
7,firezone,firezone,https://github.com/firezone/firezone,6965,289,Elixir,307,Enterprise-ready zero-trust access platform built on WireGuard®.,2025-01-10T10:52:41Z
8,realtime,supabase,https://github.com/supabase/realtime,6885,320,Elixir,40,"Broadcast, Presence, and Postgres Changes via WebSockets",2025-01-10T17:24:54Z
9,phoenix_live_view,phoenixframework,https://github.com/phoenixframework/phoenix_live_view,6347,949,Elixir,49,"Rich, real-time user experiences with server-rendered HTML",2025-01-11T00:03:14Z
10,ecto,elixir-ecto,https://github.com/elixir-ecto/ecto,6227,1433,Elixir,6,A toolkit for data mapping and language integrated query.,2025-01-10T19:06:47Z
11,teslamate,teslamate-org,https://github.com/teslamate-org/teslamate,6194,766,Elixir,36,A self-hosted data logger for your Tesla  🚘,2025-01-11T00:11:13Z
12,papercups,papercups-io,https://github.com/papercups-io/papercups,5781,528,Elixir,156,Open-source live customer chat,2024-02-15T05:21:47Z
13,livebook,livebook-dev,https://github.com/livebook-dev/livebook,5106,437,Elixir,21,Automate code & data workflows with interactive Elixir notebooks,2025-01-09T00:06:12Z
14,credo,rrrene,https://github.com/rrrene/credo,4957,423,Elixir,13,A static code analysis tool for the Elixir language with a focus on code consistency and teaching.,2024-12-28T19:46:01Z
15,elixir_style_guide,christopheradams,https://github.com/christopheradams/elixir_style_guide,4374,298,Elixir,8,A community driven style guide for Elixir,2024-05-10T03:55:51Z
16,absinthe,absinthe-graphql,https://github.com/absinthe-graphql/absinthe,4300,529,Elixir,52,The GraphQL toolkit for Elixir,2024-12-19T18:16:35Z
17,blockscout,blockscout,https://github.com/blockscout/blockscout,3747,2521,Elixir,372,Blockchain explorer for Ethereum based network and a tool for inspecting and analyzing EVM based blockchains.,2025-01-10T18:59:35Z
18,guardian,ueberauth,https://github.com/ueberauth/guardian,3450,380,Elixir,1,Elixir Authentication,2024-10-09T22:45:23Z
19,oban,oban-bg,https://github.com/oban-bg/oban,3413,316,Elixir,8,"💎 Robust job processing in Elixir, backed by modern PostgreSQL, SQLite3, and MySQL",2025-01-07T13:37:12Z
20,30-days-of-elixir,seven1m,https://github.com/seven1m/30-days-of-elixir,3040,431,Elixir,0,A walk through the Elixir language in 30 exercises.,2022-04-13T18:14:27Z
21,magnetissimo,sergiotapia,https://github.com/sergiotapia/magnetissimo,3017,189,Elixir,8,"Web application that indexes all popular torrent sites, and saves it to the local database.",2024-01-19T02:02:21Z
22,distillery,bitwalker,https://github.com/bitwalker/distillery,2966,397,Elixir,43,Simplify deployments in Elixir with OTP releases!,2024-08-04T05:50:57Z
23,plug,elixir-plug,https://github.com/elixir-plug/plug,2886,589,Elixir,4,Compose web applications with functions,2024-12-22T20:55:48Z
24,changelog.com,thechangelog,https://github.com/thechangelog/changelog.com,2719,244,Elixir,8,Changelog makes world-class developer pods. This is our open source platform.,2025-01-09T17:54:36Z
25,nx,elixir-nx,https://github.com/elixir-nx/nx,2687,198,Elixir,16,Multi-dimensional arrays (tensors) and numerical definitions for Elixir,2025-01-09T17:28:22Z
26,broadway,dashbitco,https://github.com/dashbitco/broadway,2470,161,Elixir,3,Concurrent and multi-stage data ingestion and data processing with Elixir,2024-12-29T08:17:59Z
27,quantum-core,quantum-elixir,https://github.com/quantum-elixir/quantum-core,2338,147,Elixir,9,:watch: Cron-like job scheduler for Elixir,2025-01-07T16:58:02Z
28,asciinema-server,asciinema,https://github.com/asciinema/asciinema-server,2330,265,Elixir,10,Platform for hosting and sharing terminal session recordings,2025-01-10T12:56:40Z
29,nerves,nerves-project,https://github.com/nerves-project/nerves,2297,197,Elixir,19,Craft and deploy bulletproof embedded software in Elixir,2025-01-08T14:10:37Z
30,elixir-koans,elixirkoans,https://github.com/elixirkoans/elixir-koans,2266,600,Elixir,22,Elixir learning exercises,2024-07-16T23:55:17Z
31,httpoison,edgurgel,https://github.com/edgurgel/httpoison,2234,339,Elixir,31,Yet Another HTTP client for Elixir powered by hackney,2024-07-01T09:45:50Z
32,surface,surface-ui,https://github.com/surface-ui/surface,2090,152,Elixir,32,A server-side rendering component library for Phoenix,2024-11-08T20:09:34Z
33,floki,philss,https://github.com/philss/floki,2080,155,Elixir,17,Floki is a simple HTML parser that enables search for nodes using CSS selectors.,2025-01-02T08:42:09Z
34,phoenix_live_dashboard,phoenixframework,https://github.com/phoenixframework/phoenix_live_dashboard,2053,189,Elixir,9,"Realtime dashboard with metrics, request logging, plus storage, OS and VM insights",2024-12-30T16:15:28Z
35,poison,devinus,https://github.com/devinus/poison,2031,219,Elixir,25,"An incredibly fast, pure Elixir JSON library",2024-08-12T12:23:55Z
36,tesla,elixir-tesla,https://github.com/elixir-tesla/tesla,2015,348,Elixir,20,"The flexible HTTP client library for Elixir, with support for middleware and multiple adapters.",2025-01-01T07:40:00Z
37,libcluster,bitwalker,https://github.com/bitwalker/libcluster,1994,189,Elixir,13,Automatic cluster formation/healing for Elixir applications,2025-01-09T09:28:41Z
38,scenic,ScenicFramework,https://github.com/ScenicFramework/scenic,1994,137,Elixir,23,Core Scenic library,2024-08-09T11:39:26Z
39,ex_machina,beam-community,https://github.com/beam-community/ex_machina,1955,146,Elixir,1,Create test data for Elixir applications,2024-12-30T22:15:31Z
40,bamboo,beam-community,https://github.com/beam-community/bamboo,1921,332,Elixir,8,"Testable, composable, and adapter based Elixir email library for devs that love piping.",2024-12-30T12:21:49Z
41,pinchflat,kieraneglin,https://github.com/kieraneglin/pinchflat,1918,39,Elixir,26,Your next YouTube media manager,2025-01-11T00:56:42Z
42,commanded,commanded,https://github.com/commanded/commanded,1885,245,Elixir,50,Use Commanded to build Elixir CQRS/ES applications,2025-01-02T04:45:26Z
43,supavisor,supabase,https://github.com/supabase/supavisor,1811,58,Elixir,41,"A cloud-native, multi-tenant Postgres connection pooler.",2025-01-10T19:41:58Z
44,manifold,discord,https://github.com/discord/manifold,1775,71,Elixir,1,Fast batch message passing between nodes for Erlang/Elixir.,2023-04-11T10:23:38Z
