rank,name,author,link,star,fork,language,issues,description,last_commit
1,JavaGuide,Snailclimb,https://github.com/Snailclimb/JavaGuide,147685,45674,Java,65,「Java学习+面试指南」一份涵盖大部分 Java 程序员所需要掌握的核心知识。准备 Java 面试，首选 JavaGuide！,2025-01-04T05:56:00Z
2,hello-algo,krahets,https://github.com/krahets/hello-algo,106840,13359,Java,15,"《Hello 算法》：动画图解、一键运行的数据结构与算法教程。支持 Python, Java, C++, C, C#, JS, Go, Swift, Rust, Ruby, Kotlin, TS, Dart 代码。简体版和繁体版同步更新，English version ongoing",2025-01-02T15:05:12Z
3,java-design-patterns,iluwatar,https://github.com/iluwatar/java-design-patterns,90470,26738,Java,129,Design patterns implemented in Java,2025-01-06T22:31:47Z
4,mall,macrozheng,https://github.com/macrozheng/mall,78787,28969,Java,16,mall项目是一套电商系统，包括前台商城系统及后台管理系统，基于SpringBoot+MyBatis实现，采用Docker容器化部署。 前台商城系统包含首页门户、商品推荐、商品搜索、商品展示、购物车、订单流程、会员中心、客户服务、帮助中心等模块。 后台管理系统包含商品管理、订单管理、会员管理、促销管理、运营管理、内容管理、统计报表、财务管理、权限管理、设置等模块。,2025-01-02T02:47:38Z
5,advanced-java,doocs,https://github.com/doocs/advanced-java,76849,19132,Java,5,😮 Core Interview Questions & Answers For Experienced Java(Backend) Developers \,互联网 Java 工程师进阶知识完全扫盲：涵盖高并发、分布式、高可用、微服务、海量数据处理等领域知识
6,spring-boot,spring-projects,https://github.com/spring-projects/spring-boot,75828,40844,Java,556,"Spring Boot helps you to create Spring-powered, production-grade applications and services with absolute minimum fuss.",2025-01-11T08:26:37Z
7,LeetCodeAnimation,MisterBooo,https://github.com/MisterBooo/LeetCodeAnimation,75636,13985,Java,19,Demonstrate all the questions on LeetCode in the form of animation.（用动画的形式呈现解LeetCode题目的思路）,2023-08-14T12:14:01Z
8,elasticsearch,elastic,https://github.com/elastic/elasticsearch,71262,24969,Java,3943,"Free and Open Source, Distributed, RESTful Search Engine",2025-01-11T07:14:04Z
9,interviews,kdn251,https://github.com/kdn251/interviews,63797,12901,Java,30,Everything you need to know to get the job.,2024-05-13T08:48:36Z
10,Java,TheAlgorithms,https://github.com/TheAlgorithms/Java,60541,19574,Java,2,All Algorithms implemented in Java,2025-01-11T07:17:41Z
11,spring-framework,spring-projects,https://github.com/spring-projects/spring-framework,57096,38294,Java,286,Spring Framework,2025-01-10T18:50:53Z
12,ghidra,NationalSecurityAgency,https://github.com/NationalSecurityAgency/ghidra,52923,5981,Java,1423,Ghidra is a software reverse engineering (SRE) framework,2025-01-10T16:29:38Z
13,guava,google,https://github.com/google/guava,50401,10933,Java,632,Google core libraries for Java,2025-01-10T22:46:06Z
14,Stirling-PDF,Stirling-Tools,https://github.com/Stirling-Tools/Stirling-PDF,48758,3998,Java,211,#1 Locally hosted web application that allows you to perform various operations on PDF files,2025-01-10T11:25:40Z
15,RxJava,ReactiveX,https://github.com/ReactiveX/RxJava,47964,7603,Java,11,RxJava – Reactive Extensions for the JVM – a library for composing asynchronous and event-based programs using observable sequences for the Java VM.,2025-01-10T10:07:55Z
16,jadx,skylot,https://github.com/skylot/jadx,42471,4951,Java,401,Dex to Java decompiler,2025-01-06T20:16:26Z
17,dbeaver,dbeaver,https://github.com/dbeaver/dbeaver,41288,3543,Java,2751,Free universal database tool and SQL client,2025-01-10T17:13:59Z
18,JeecgBoot,jeecgboot,https://github.com/jeecgboot/JeecgBoot,41253,15008,Java,36,🔥「企业级低代码平台」前后端分离架构SpringBoot 2.x/3.x，SpringCloud，Ant Design&Vue3，Mybatis，Shiro，JWT。强大的代码生成器让前后端代码一键生成，无需写任何代码! 引领新的开发模式，引入AI模型能力 OnlineCoding->代码生成->手工MERGE，帮助Java项目解决70%重复工作，让开发更关注业务，既能快速提高效率，帮助公司节省成本，同时又不失灵活性。,2025-01-09T03:12:55Z
19,dubbo,apache,https://github.com/apache/dubbo,40646,26453,Java,786,The java implementation of Apache Dubbo. An RPC and microservice framework.,2025-01-10T13:12:31Z
20,termux-app,termux,https://github.com/termux/termux-app,37962,4002,Java,346,Termux - a terminal emulator application for Android OS extendible by variety of packages.,2024-10-28T07:45:40Z
21,MPAndroidChart,PhilJay,https://github.com/PhilJay/MPAndroidChart,37725,9026,Java,2062,"A powerful 🚀 Android chart view / graph view library, supporting line- bar- pie- radar- bubble- and candlestick charts as well as scaling, panning and animations.",2024-08-20T14:01:30Z
22,tutorials,eugenp,https://github.com/eugenp/tutorials,36877,54435,Java,29,Getting Started with Spring Boot 3:,2025-01-11T10:01:17Z
23,arthas,alibaba,https://github.com/alibaba/arthas,35870,7523,Java,353,Alibaba Java Diagnostic Tool Arthas/Alibaba Java诊断利器Arthas,2024-12-02T07:14:08Z
24,hello-algorithm,geekxh,https://github.com/geekxh/hello-algorithm,35398,6470,Java,12,🌍 针对小白的算法训练 \,包括四部分：①.大厂面经 ②.力扣图解  ③.千本开源电子书 ④.百张技术思维导图（项目花了上百小时，希望可以点 star 支持，🌹感谢~）推荐免费ChatGPT使用网站
25,lottie-android,airbnb,https://github.com/airbnb/lottie-android,35136,5424,Java,19,"Render After Effects animations natively on Android and iOS, Web, and React Native",2024-12-16T01:47:28Z
26,glide,bumptech,https://github.com/bumptech/glide,34744,6134,Java,532,An image loading and caching library for Android focused on smooth scrolling,2025-01-09T23:00:20Z
27,halo,halo-dev,https://github.com/halo-dev/halo,34511,9770,Java,333,强大易用的开源建站工具。,2025-01-03T09:53:26Z
28,netty,netty,https://github.com/netty/netty,33661,15990,Java,575,Netty project - an event-driven asynchronous network application framework,2025-01-10T16:56:33Z
29,AndroidUtilCode,Blankj,https://github.com/Blankj/AndroidUtilCode,33405,10698,Java,300,:fire: Android developers should collect the following utils(updating).,2024-08-15T10:38:10Z
30,spring-boot-demo,xkcoding,https://github.com/xkcoding/spring-boot-demo,33297,10917,Java,94,🚀一个用来深入学习并实战 Spring Boot 的项目。,2024-07-24T02:02:52Z
31,easyexcel,alibaba,https://github.com/alibaba/easyexcel,33042,7601,Java,450,快速、简洁、解决大文件内存溢出的java处理Excel工具,2024-10-29T06:07:07Z
32,zxing,zxing,https://github.com/zxing/zxing,32981,9372,Java,5,"ZXing (""Zebra Crossing"") barcode scanning library for Java, Android",2024-12-23T06:09:15Z
33,leetcode,doocs,https://github.com/doocs/leetcode,32516,8018,Java,2,🔥LeetCode solutions in any programming language \,多种编程语言实现 LeetCode、《剑指 Offer（第 2 版）》、《程序员面试金典（第 6 版）》题解
34,NewPipe,TeamNewPipe,https://github.com/TeamNewPipe/NewPipe,32194,3094,Java,1169,A libre lightweight streaming front-end for Android.,2025-01-04T08:34:08Z
35,selenium,SeleniumHQ,https://github.com/SeleniumHQ/selenium,31289,8280,Java,144,A browser automation framework and ecosystem.,2025-01-11T00:37:03Z
36,nacos,alibaba,https://github.com/alibaba/nacos,30632,12904,Java,227,"an easy-to-use dynamic service discovery, configuration and service management platform for building cloud native applications.",2025-01-10T08:26:44Z
37,WxJava,binarywang,https://github.com/binarywang/WxJava,30371,8741,Java,24,微信开发 Java SDK ，支持包括微信支付，开放平台，小程序，企业微信，视频号，公众号等的后端开发,2025-01-09T08:37:40Z
38,spring-boot-examples,ityouknow,https://github.com/ityouknow/spring-boot-examples,30332,12352,Java,9,about learning Spring Boot via examples. Spring Boot 教程、技术栈示例代码，快速简单上手教程。,2023-11-18T16:32:16Z
39,hutool,dromara,https://github.com/dromara/hutool,29392,7550,Java,3,🍬A set of tools that keep Java sweet.,2025-01-10T13:37:48Z
40,apollo,apolloconfig,https://github.com/apolloconfig/apollo,29271,10224,Java,130,Apollo is a reliable configuration management system suitable for microservice configuration management scenarios.,2025-01-08T01:14:50Z
41,kafka,apache,https://github.com/apache/kafka,29216,14088,Java,0,Mirror of Apache Kafka,2025-01-11T04:04:32Z
42,canal,alibaba,https://github.com/alibaba/canal,28745,7644,Java,1088,阿里巴巴 MySQL binlog 增量订阅&消费组件,2025-01-08T02:10:43Z
