rank,name,author,link,star,fork,language,issues,description,last_commit
1,deep-photo-styletransfer,luanfujun,https://github.com/luanfujun/deep-photo-styletransfer,9988,1403,MATLAB,29,"Code and data for paper ""Deep Photo Style Transfer"": https://arxiv.org/abs/1703.07511",2021-08-02T01:07:44Z
2,OpenFace,TadasBaltrusaitis,https://github.com/TadasBaltrusaitis/OpenFace,7040,1860,MATLAB,334,"OpenFace – a state-of-the art tool intended for facial landmark detection, head pose estimation, facial action unit recognition, and eye-gaze estimation.",2024-06-01T00:44:07Z
3,PRMLT,PRML,https://github.com/PRML/PRMLT,6043,2157,MATLAB,0,Matlab code of machine learning algorithms in book PRML,2020-03-04T13:50:30Z
4,vrn,AaronJackson,https://github.com/AaronJackson/vrn,4515,746,MATLAB,6,":man:  Code for ""Large Pose 3D Face Reconstruction from a Single Image via Direct Volumetric CNN Regression""",2022-07-26T00:06:01Z
5,Book-Mathematical-Foundation-of-Reinforcement-Learning,MathFoundationRL,https://github.com/MathFoundationRL/Book-Mathematical-Foundation-of-Reinforcement-Learning,4301,572,MATLAB,0,"This is the homepage of a new book entitled ""Mathematical Foundations of Reinforcement Learning.""",2024-12-26T02:18:09Z
6,DeepLearnToolbox,rasmusbergpalm,https://github.com/rasmusbergpalm/DeepLearnToolbox,3812,2276,MATLAB,69,"Matlab/Octave toolbox for deep learning. Includes Deep Belief Nets, Stacked Autoencoders, Convolutional Neural Nets, Convolutional Autoencoders and vanilla Neural Nets. Each method has examples to get you started.",2018-10-13T18:08:01Z
7,Math_Model,personqianduixue,https://github.com/personqianduixue/Math_Model,3368,690,MATLAB,2,数学建模、美赛、美国大学生数学建模竞赛、全国大学生数学建模竞赛、华为杯研究生数学建模、国赛LaTeX模板、美赛LaTeX模板、mathorcup、电工杯、华中赛、APMCM、深圳杯、中青杯、华东杯、数维杯、东三省数学建模、认证杯、数学建模书籍、常用matlab算法、国赛评阅要点、软件模型算法汇总、智能算法、优化算法、现代的算法,2023-12-01T04:43:53Z
8,Stanford-CS-229,cycleuser,https://github.com/cycleuser/Stanford-CS-229,3348,854,MATLAB,3,A Chinese Translation of Stanford CS229 notes 斯坦福机器学习CS229课程讲义的中文翻译,2022-03-01T05:11:19Z
9,MTCNN_face_detection_alignment,kpzhang93,https://github.com/kpzhang93/MTCNN_face_detection_alignment,2832,1002,MATLAB,46,Joint Face Detection and Alignment using Multi-task Cascaded Convolutional Neural Networks,2022-10-11T07:35:47Z
10,faster_rcnn,ShaoqingRen,https://github.com/ShaoqingRen/faster_rcnn,2718,1218,MATLAB,139,Faster R-CNN,2018-07-26T04:26:32Z
11,eviltransform,googollee,https://github.com/googollee/eviltransform,2443,477,MATLAB,9,Transport coordinate between earth(WGS-84) and mars in china(GCJ-02).,2024-01-15T01:44:21Z
12,rcnn,rbgirshick,https://github.com/rbgirshick/rcnn,2383,978,MATLAB,52,R-CNN: Regions with Convolutional Neural Network Features,2017-04-03T16:16:14Z
13,Algorithms_MathModels,HuangCongQing,https://github.com/HuangCongQing/Algorithms_MathModels,2152,540,MATLAB,2,【国赛】【美赛】数学建模相关算法 MATLAB实现（2018年初整理）,2022-12-25T17:27:52Z
14,OpenTLD,zk00006,https://github.com/zk00006/OpenTLD,2094,1272,MATLAB,33,OpenTLD is an open source library for real-time 2D tracking of a single object in video. This repository is no longer under development. For latest version see: http://www.tldvision.com/tld2.html,2022-05-18T19:06:49Z
15,Machine-Learning-homework,Ayatans,https://github.com/Ayatans/Machine-Learning-homework,1921,669,MATLAB,0,Matlab Coding homework for Machine Learning,2020-04-28T02:45:57Z
16,CAM,zhoubolei,https://github.com/zhoubolei/CAM,1852,466,MATLAB,20,Class Activation Mapping,2022-09-13T14:02:02Z
17,MCM-ICM,dick20,https://github.com/dick20/MCM-ICM,1779,331,MATLAB,1,2004-2020美赛O奖论文,2024-04-09T09:04:33Z
18,PlatEMO,BIMK,https://github.com/BIMK/PlatEMO,1696,476,MATLAB,74,Evolutionary multi-objective optimization platform,2024-12-08T06:16:10Z
19,matlab2tikz,matlab2tikz,https://github.com/matlab2tikz/matlab2tikz,1585,320,MATLAB,248,This program converts MATLAB®/Octave figures to TikZ/pgfplots figures for smooth integration into LaTeX.,2023-10-23T16:48:16Z
20,awesome-low-light-image-enhancement,zhihongz,https://github.com/zhihongz/awesome-low-light-image-enhancement,1518,222,MATLAB,0,This is a resouce list for low light image enhancement,2024-12-21T15:16:45Z
21,DnCNN,cszn,https://github.com/cszn/DnCNN,1485,538,MATLAB,39,"Beyond a Gaussian Denoiser: Residual Learning of Deep CNN for Image Denoising (TIP, 2017)",2021-10-09T22:04:36Z
22,Coding-Guide,ecmadao,https://github.com/ecmadao/Coding-Guide,1457,189,MATLAB,0,自己随手记录的东西,2022-07-12T04:03:24Z
23,MATLAB-Simulink-Challenge-Project-Hub,mathworks,https://github.com/mathworks/MATLAB-Simulink-Challenge-Project-Hub,1364,289,MATLAB,1,This MATLAB and Simulink Challenge Project Hub contains a list of research and design project ideas. These projects will help you gain practical experience and insight into technology trends and industry directions.,2024-12-12T16:59:29Z
24,omniglot,brendenlake,https://github.com/brendenlake/omniglot,1364,358,MATLAB,0,Omniglot data set for one-shot learning,2023-02-01T21:28:32Z
25,crfasrnn,torrvision,https://github.com/torrvision/crfasrnn,1344,460,MATLAB,46,This repository contains the source code for the semantic image segmentation method described in the ICCV 2015 paper: Conditional Random Fields as Recurrent Neural Networks. http://crfasrnn.torr.vision/,2019-11-30T13:17:39Z
26,robotics-toolbox-matlab,petercorke,https://github.com/petercorke/robotics-toolbox-matlab,1328,450,MATLAB,82,Robotics Toolbox for MATLAB,2023-01-01T21:23:11Z
27,export_fig,altmany,https://github.com/altmany/export_fig,1292,369,MATLAB,33,A MATLAB toolbox for exporting publication quality figures,2024-11-05T16:16:53Z
28,R-FCN,daijifeng001,https://github.com/daijifeng001/R-FCN,1243,540,MATLAB,30,R-FCN: Object Detection via Region-based Fully Convolutional Networks,2017-05-05T15:50:59Z
29,matlab-schemer,scottclowe,https://github.com/scottclowe/matlab-schemer,1214,275,MATLAB,13,Apply and save color schemes in MATLAB with ease.,2023-12-13T03:58:36Z
30,tiny,peiyunh,https://github.com/peiyunh/tiny,1135,317,MATLAB,5,"Tiny Face Detector, CVPR 2017",2020-03-21T02:04:30Z
