rank,name,author,link,star,fork,language,issues,description,last_commit
1,awesome-ios,vsouza,https://github.com/vsouza/awesome-ios,47824,6842,Swift,0,"A curated list of awesome iOS ecosystem, including Objective-C and Swift Projects",2025-01-06T20:50:09Z
2,Alamofire,Alamofire,https://github.com/Alamofire/Alamofire,41533,7583,Swift,35,Elegant HTTP Networking in Swift,2025-01-07T12:29:07Z
3,iina,iina,https://github.com/iina/iina,38944,2591,Swift,1698,The modern video player for macOS.,2025-01-04T03:06:53Z
4,ShadowsocksX-NG,shadowsocks,https://github.com/shadowsocks/ShadowsocksX-NG,32562,7936,Swift,309,Next Generation of ShadowsocksX,2024-10-29T12:19:30Z
5,swift-algorithm-club,kodecocodes,https://github.com/kodecocodes/swift-algorithm-club,28901,5006,Swift,31,"Algorithms and data structures in Swift, with explanations!",2024-12-06T07:03:07Z
6,MonitorControl,MonitorControl,https://github.com/MonitorControl/MonitorControl,28635,829,Swift,5,🖥 Control your display's brightness & volume on your Mac as if it was a native Apple Display. Use Apple Keyboard keys or custom shortcuts. Shows the native macOS OSDs.,2024-10-24T13:58:43Z
7,UTM,utmapp,https://github.com/utmapp/UTM,27733,1367,Swift,835,Virtual machines for iOS and macOS,2024-12-23T16:51:46Z
8,Charts,ChartsOrg,https://github.com/ChartsOrg/Charts,27674,6007,Swift,879,Beautiful charts for iOS/tvOS/OSX! The Apple side of the crossplatform MPAndroidChart.,2024-08-19T06:17:16Z
9,stats,exelban,https://github.com/exelban/stats,27193,896,Swift,22,macOS system monitor in your menu bar,2025-01-10T21:45:11Z
10,Rectangle,rxhanson,https://github.com/rxhanson/Rectangle,26278,798,Swift,95,Move and resize windows on macOS with keyboard shortcuts and snap areas,2025-01-06T00:04:50Z
11,lottie-ios,airbnb,https://github.com/airbnb/lottie-ios,25923,3754,Swift,25,An iOS library to natively render After Effects vector animations,2025-01-08T18:03:58Z
12,vapor,vapor,https://github.com/vapor/vapor,24713,1448,Swift,86,💧 A server-side Swift HTTP web framework.,2025-01-10T18:35:20Z
13,RxSwift,ReactiveX,https://github.com/ReactiveX/RxSwift,24443,4169,Swift,17,Reactive Programming in Swift,2024-12-07T18:07:09Z
14,Kingfisher,onevcat,https://github.com/onevcat/Kingfisher,23505,2666,Swift,160,"A lightweight, pure-Swift library for downloading and caching images from the web.",2025-01-06T06:45:32Z
15,SwiftyJSON,SwiftyJSON,https://github.com/SwiftyJSON/SwiftyJSON,22752,3431,Swift,116,The better way to deal with JSON data in Swift.,2024-11-14T11:02:39Z
16,Hero,HeroTransitions,https://github.com/HeroTransitions/Hero,22135,1729,Swift,39,Elegant transition library for iOS & tvOS,2024-02-06T02:04:31Z
17,CodeEdit,CodeEditApp,https://github.com/CodeEditApp/CodeEdit,21319,1029,Swift,218,"📝 CodeEdit App for macOS – Elevate your code editing experience. Open source, free forever.",2025-01-08T13:57:27Z
18,Aerial,JohnCoates,https://github.com/JohnCoates/Aerial,20808,1056,Swift,78,Apple TV Aerial Screensaver for Mac,2024-12-03T14:07:13Z
19,SnapKit,SnapKit,https://github.com/SnapKit/SnapKit,20058,1984,Swift,43,A Swift Autolayout DSL for iOS & OS X,2024-07-07T13:58:39Z
20,ReactiveCocoa,ReactiveCocoa,https://github.com/ReactiveCocoa/ReactiveCocoa,19926,3457,Swift,4,Cocoa framework and Obj-C dynamism bindings for ReactiveSwift.,2024-08-17T14:37:56Z
21,SwiftLint,realm,https://github.com/realm/SwiftLint,18761,2231,Swift,376,A tool to enforce Swift style and conventions.,2025-01-10T23:07:33Z
22,IQKeyboardManager,hackiftekhar,https://github.com/hackiftekhar/IQKeyboardManager,16516,2418,Swift,9,Codeless drop-in universal library allows to prevent issues of keyboard sliding up and cover UITextField/UITextView. Neither need to write any code nor any setup required and much more.,2024-11-29T08:25:38Z
23,OpenEmu,OpenEmu,https://github.com/OpenEmu/OpenEmu,16286,1260,Swift,361,🕹 Retro video game emulation for macOS,2024-07-16T08:50:12Z
24,SwiftGuide,ipader,https://github.com/ipader/SwiftGuide,16010,3552,Swift,0,Swift Featured Projects in brain Mapping,2023-04-05T09:09:08Z
25,Ice,jordanbaird,https://github.com/jordanbaird/Ice,15610,287,Swift,114,Powerful menu bar manager for macOS,2025-01-07T21:04:57Z
26,Moya,Moya,https://github.com/Moya/Moya,15191,1992,Swift,160,Network abstraction layer written in Swift.,2024-08-05T11:56:59Z
27,Design-Patterns-In-Swift,ochococo,https://github.com/ochococo/Design-Patterns-In-Swift,15174,1751,Swift,4,📖 Design Patterns implemented in Swift 5.0,2024-08-03T07:30:28Z
28,Mos,Caldis,https://github.com/Caldis/Mos,15108,529,Swift,254,"一个用于在 macOS 上平滑你的鼠标滚动效果或单独设置滚动方向的小工具, 让你的滚轮爽如触控板  \",A lightweight tool used to smooth scrolling and set scroll direction independently for your mouse on macOS
29,Amethyst,ianyh,https://github.com/ianyh/Amethyst,14982,487,Swift,373,Automatic tiling window manager for macOS à la xmonad.,2025-01-02T17:46:10Z
30,Carthage,Carthage,https://github.com/Carthage/Carthage,14968,1549,Swift,187,"A simple, decentralized dependency manager for Cocoa",2024-12-28T07:04:42Z
31,PromiseKit,mxcl,https://github.com/mxcl/PromiseKit,14246,1460,Swift,10,Promises for Swift & ObjC.,2024-11-23T10:34:17Z
32,SwifterSwift,SwifterSwift,https://github.com/SwifterSwift/SwifterSwift,14227,1638,Swift,23,A handy collection of more than 500 native Swift extensions to boost your productivity.,2025-01-03T15:06:30Z
33,Spring,MengTo,https://github.com/MengTo/Spring,14091,1805,Swift,131,A library to simplify iOS animations in Swift.,2023-07-03T14:28:34Z
34,Perfect,PerfectlySoft,https://github.com/PerfectlySoft/Perfect,13833,944,Swift,54,"Server-side Swift. The Perfect core toolset and framework for Swift Developers. (For mobile back-end development, website and API development, and more…)",2024-02-03T15:38:39Z
35,Maccy,p0deje,https://github.com/p0deje/Maccy,13626,572,Swift,35,Lightweight clipboard manager for macOS,2025-01-01T22:07:04Z
36,Whisky,Whisky-App,https://github.com/Whisky-App/Whisky,13446,288,Swift,395,A modern Wine wrapper for macOS built with SwiftUI,2024-11-10T01:05:36Z
37,swift-composable-architecture,pointfreeco,https://github.com/pointfreeco/swift-composable-architecture,12726,1472,Swift,11,"A library for building applications in a consistent and understandable way, with composition, testing, and ergonomics in mind.",2025-01-10T06:24:14Z
38,SkeletonView,Juanpe,https://github.com/Juanpe/SkeletonView,12667,1119,Swift,74,☠️ An elegant way to show users that something is happening and also prepare them to which contents they are awaiting,2024-08-06T18:38:09Z
39,firefox-ios,mozilla-mobile,https://github.com/mozilla-mobile/firefox-ios,12299,2960,Swift,1972,Firefox for iOS,2025-01-10T23:12:59Z
40,AltStore,altstoreio,https://github.com/altstoreio/AltStore,11992,927,Swift,510,AltStore is an alternative app store for non-jailbroken iOS devices.,2024-11-20T02:30:09Z
41,Material,CosmicMind,https://github.com/CosmicMind/Material,11990,1264,Swift,32,A UI/UX framework for creating beautiful applications.,2022-05-16T17:39:01Z
42,Eureka,xmartlabs,https://github.com/xmartlabs/Eureka,11800,1324,Swift,162,Elegant iOS form builder in Swift,2024-09-12T17:04:03Z
43,hidden,dwarvesf,https://github.com/dwarvesf/hidden,11720,315,Swift,118,An ultra-light MacOS utility that helps hide menu bar icons,2023-08-15T15:05:34Z
44,30DaysofSwift,allenwong,https://github.com/allenwong/30DaysofSwift,11517,2039,Swift,7,A self-taught project to learn Swift.,2022-05-21T17:40:30Z
45,alt-tab-macos,lwouis,https://github.com/lwouis/alt-tab-macos,11442,346,Swift,77,Windows alt-tab on macOS,2025-01-07T00:20:52Z
46,animated-tab-bar,Ramotion,https://github.com/Ramotion/animated-tab-bar,11130,1326,Swift,9,:octocat: RAMAnimatedTabBarController is a Swift UI module library for adding animation to iOS tabbar items and icons. iOS library made by @Ramotion,2022-01-26T02:40:50Z
47,mas,mas-cli,https://github.com/mas-cli/mas,11079,276,Swift,94,:package: Mac App Store command line interface,2025-01-05T13:48:37Z
48,Signal-iOS,signalapp,https://github.com/signalapp/Signal-iOS,10891,3065,Swift,129,A private messenger for iOS.,2025-01-09T21:55:06Z
49,AudioKit,AudioKit,https://github.com/AudioKit/AudioKit,10798,1562,Swift,25,"Audio synthesis, processing, & analysis platform for iOS, macOS and tvOS",2025-01-08T22:48:35Z
50,NVActivityIndicatorView,ninjaprox,https://github.com/ninjaprox/NVActivityIndicatorView,10653,1163,Swift,12,A collection of awesome loading animations,2024-04-17T15:35:05Z
51,CryptoSwift,krzyzanowskim,https://github.com/krzyzanowskim/CryptoSwift,10242,1669,Swift,0,CryptoSwift is a growing collection of standard and secure cryptographic algorithms implemented in Swift,2025-01-05T22:30:39Z
52,folding-cell,Ramotion,https://github.com/Ramotion/folding-cell,10237,1144,Swift,8,:octocat: 📃 FoldingCell is an expanding content cell with animation made by @Ramotion,2024-04-28T23:42:52Z
53,pock,pock,https://github.com/pock/pock,10098,368,Swift,63,Widgets manager for MacBook Touch Bar,2022-11-12T18:15:22Z
54,swift-package-manager,swiftlang,https://github.com/swiftlang/swift-package-manager,9821,1359,Swift,751,The Package Manager for the Swift Programming Language,2025-01-11T10:10:20Z
55,Quick,Quick,https://github.com/Quick/Quick,9804,911,Swift,33,The Swift (and Objective-C) testing framework.,2024-11-08T19:03:54Z
56,SQLite.swift,stephencelis,https://github.com/stephencelis/SQLite.swift,9788,1575,Swift,127,"A type-safe, Swift-language layer over SQLite3.",2024-12-05T07:07:12Z
57,FlappySwift,newlinedotco,https://github.com/newlinedotco/FlappySwift,9690,2686,Swift,3,swift implementation of flappy bird. More at fullstackedu.com,2023-04-29T03:44:50Z
58,AeroSpace,nikitabobko,https://github.com/nikitabobko/AeroSpace,9594,166,Swift,196,AeroSpace is an i3-like tiling window manager for macOS,2025-01-09T22:28:42Z
59,R.swift,mac-cain13,https://github.com/mac-cain13/R.swift,9529,765,Swift,60,"Strong typed, autocompleted resources like images, fonts and segues in Swift projects",2024-11-14T20:45:59Z
60,iOSInterviewQuestions,ChenYilong,https://github.com/ChenYilong/iOSInterviewQuestions,9394,2766,Swift,67,iOS interview questions;iOS面试题集锦（附答案）,2024-07-22T10:04:37Z
61,eul,gao-sun,https://github.com/gao-sun/eul,9363,350,Swift,64,🖥️ macOS status monitoring app written in SwiftUI.,2024-05-25T22:59:12Z
62,SwiftGen,SwiftGen,https://github.com/SwiftGen/SwiftGen,9329,742,Swift,116,"The Swift code generator for your assets, storyboards, Localizable.strings, … — Get rid of all String-based APIs!",2024-07-19T15:53:13Z
