rank,name,author,link,star,fork,language,issues,description,last_commit
1,deeplearningbook-chinese,exacity,https://github.com/exacity/deeplearningbook-chinese,35955,9114,TeX,64,Deep Learning Book Chinese Translation,2019-12-03T04:25:44Z
2,libpku,lib-pku,https://github.com/lib-pku/libpku,30491,8254,TeX,10,贵校课程资料民间整理,2022-01-05T04:09:27Z
3,awesome-deep-learning-papers,terryum,https://github.com/terryum/awesome-deep-learning-papers,25614,4477,TeX,15,The most cited deep learning papers,2024-01-18T13:29:44Z
4,Awesome-CV,posquit0,https://github.com/posquit0/Awesome-CV,23546,4842,TeX,112,:page_facing_up: Awesome CV is LaTeX template for your outstanding job application,2024-08-08T15:02:08Z
5,PlotNeuralNet,HarisIqbal88,https://github.com/HarisIqbal88/PlotNeuralNet,22548,2902,TeX,69,Latex code for making neural networks diagrams,2023-08-21T17:47:04Z
6,conv_arithmetic,vdumoulin,https://github.com/vdumoulin/conv_arithmetic,14151,2293,TeX,6,A technical report on convolution arithmetic in the context of deep learning,2023-06-08T21:06:47Z
7,tensorflow-zh,jikexueyuanwiki,https://github.com/jikexueyuanwiki/tensorflow-zh,12372,4176,TeX,27,谷歌全新开源人工智能系统TensorFlow官方文档中文版,2019-08-04T08:55:50Z
8,os01,tuhdo,https://github.com/tuhdo/os01,12254,721,TeX,54,Bootstrap yourself to write an OS from scratch. A book for self-learner.,2024-03-26T16:21:49Z
9,leetcode,soulmachine,https://github.com/soulmachine/leetcode,11313,3431,TeX,41,LeetCode题解，151道题完整版。,2024-07-10T22:02:14Z
10,milewski-ctfp-pdf,hmemcpy,https://github.com/hmemcpy/milewski-ctfp-pdf,11104,598,TeX,41,Bartosz Milewski's 'Category Theory for Programmers' unofficial PDF and LaTeX source,2024-11-29T07:33:02Z
11,resume,billryan,https://github.com/billryan/resume,9418,2628,TeX,30,An elegant \LaTeX\ résumé template. 大陆镜像 https://gods.coding.net/p/resume/git,2024-03-15T08:48:48Z
12,MathModel,zhanwen,https://github.com/zhanwen/MathModel,8397,2136,TeX,19,研究生数学建模，本科生数学建模、数学建模竞赛优秀论文，数学建模算法，LaTeX论文模板，算法思维导图，参考书籍，Matlab软件教程，PPT,2024-12-03T15:30:41Z
13,lkmpg,sysprog21,https://github.com/sysprog21/lkmpg,7753,537,TeX,16,The Linux Kernel Module Programming Guide (updated for 5.0+ kernels),2024-12-12T07:03:46Z
14,machine-learning-cheat-sheet,soulmachine,https://github.com/soulmachine/machine-learning-cheat-sheet,7525,1272,TeX,9,Classical equations and diagrams in machine learning,2024-07-30T22:02:41Z
15,awesome-NeRF,awesome-NeRF,https://github.com/awesome-NeRF/awesome-NeRF,6565,597,TeX,0,A curated list of awesome neural radiance fields papers,2025-01-06T11:03:37Z
