rank,name,author,link,star,fork,language,issues,description,last_commit
1,datasharing,jtleek,https://github.com/jtleek/datasharing,6562,243682,None,306,The Leek group guide to data sharing,2024-08-07T08:29:32Z
2,Spoon-Knife,octocat,https://github.com/octocat/Spoon-Knife,12756,148107,HTML,2244,This repo is for demonstration purposes only.,2024-08-21T15:25:42Z
3,ProgrammingAssignment2,rdpeng,https://github.com/rdpeng/ProgrammingAssignment2,847,143788,R,198,Repository for Programming Assignment 2 for R Programming on Coursera,2024-08-14T21:14:33Z
4,SmartThingsPublic,SmartThingsCommunity,https://github.com/SmartThingsCommunity/SmartThingsPublic,2578,89628,Groovy,66,SmartThings open-source DeviceType Handlers and SmartApps code,2023-07-18T18:42:27Z
5,Complete-Python-3-Bootcamp,Pierian-Data,https://github.com/Pierian-Data/Complete-Python-3-Bootcamp,27767,85785,Jupyter Notebook,135,Course Files for Complete Python 3 Bootcamp Course on Udemy,2024-08-09T22:16:00Z
6,gitignore,github,https://github.com/github/gitignore,163594,83113,None,0,A collection of useful .gitignore templates,2025-01-09T22:49:50Z
7,first-contributions,firstcontributions,https://github.com/firstcontributions/first-contributions,46272,81591,None,12,🚀✨ Help beginners to contribute to open source projects,2025-01-11T09:30:19Z
8,bootstrap,twbs,https://github.com/twbs/bootstrap,171182,78941,JavaScript,489,"The most popular HTML, CSS, and JavaScript framework for developing responsive, mobile first projects on the web.",2025-01-07T10:41:52Z
9,coding-interview-university,jwasham,https://github.com/jwasham/coding-interview-university,309839,77510,None,50,A complete computer science study plan to become a software engineer.,2024-12-05T23:47:30Z
10,tensorflow,tensorflow,https://github.com/tensorflow/tensorflow,187208,74405,C++,824,An Open Source Machine Learning Framework for Everyone,2025-01-11T09:39:05Z
11,css-exercises,TheOdinProject,https://github.com/TheOdinProject/css-exercises,1736,73486,HTML,1,None,2024-10-20T13:10:34Z
12,cgm-remote-monitor,nightscout,https://github.com/nightscout/cgm-remote-monitor,2452,71906,JavaScript,226,nightscout web monitor,2024-12-17T22:10:51Z
13,free-programming-books,EbookFoundation,https://github.com/EbookFoundation/free-programming-books,347107,62476,HTML,34,:books: Freely available programming books,2025-01-03T18:27:26Z
14,docs,github,https://github.com/github/docs,16589,60512,TypeScript,49,The open-source repo for docs.github.com,2025-01-11T06:35:30Z
15,ChatGPT-Next-Web,ChatGPTNextWeb,https://github.com/ChatGPTNextWeb/ChatGPT-Next-Web,78470,60002,TypeScript,485,A cross-platform ChatGPT/Gemini UI (Web / PWA / Linux / Win / MacOS). 一键拥有你自己的跨平台 ChatGPT/Gemini/Claude LLM 应用。,2025-01-11T08:19:02Z
16,ExData_Plotting1,rdpeng,https://github.com/rdpeng/ExData_Plotting1,279,56676,None,76,Plotting Assignment 1 for Exploratory Data Analysis,2024-07-04T20:52:28Z
17,opencv,opencv,https://github.com/opencv/opencv,80009,55925,C++,2548,Open Source Computer Vision Library,2025-01-11T07:35:03Z
18,linux,torvalds,https://github.com/torvalds/linux,185677,54695,C,0,Linux kernel source tree,2025-01-11T01:24:41Z
19,tutorials,eugenp,https://github.com/eugenp/tutorials,36877,54435,Java,29,Getting Started with Spring Boot 3:,2025-01-11T10:01:17Z
20,Python-100-Days,jackfrued,https://github.com/jackfrued/Python-100-Days,159655,52742,Python,539,Python - 100天从新手到大师,2025-01-07T09:24:56Z
21,CS-Notes,CyC2018,https://github.com/CyC2018/CS-Notes,178479,51179,None,148,:books: 技术面试必备基础知识、Leetcode、计算机操作系统、计算机网络、系统设计,2024-08-21T09:40:10Z
22,ant-design,ant-design,https://github.com/ant-design/ant-design,93082,50672,TypeScript,1206,An enterprise-class UI design language and React UI library,2025-01-11T03:55:58Z
23,system-design-primer,donnemartin,https://github.com/donnemartin/system-design-primer,285393,47606,Python,231,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.,2024-12-02T01:10:39Z
24,react,facebook,https://github.com/facebook/react,231233,47342,JavaScript,768,The library for web and native user interfaces.,2025-01-10T16:59:38Z
25,dio-lab-open-source,digitalinnovationone,https://github.com/digitalinnovationone/dio-lab-open-source,6364,46221,Jupyter Notebook,3594,"Repositório do lab ""Contribuindo em um Projeto Open Source no GitHub"" da Digital Innovation One.",2025-01-11T06:28:24Z
26,Python,TheAlgorithms,https://github.com/TheAlgorithms/Python,196333,46093,Python,65,All Algorithms implemented in Python,2025-01-06T20:12:17Z
27,models,tensorflow,https://github.com/tensorflow/models,77297,45720,Python,1064,Models and examples built with TensorFlow,2025-01-10T15:21:30Z
28,JavaGuide,Snailclimb,https://github.com/Snailclimb/JavaGuide,147685,45674,Java,65,「Java学习+面试指南」一份涵盖大部分 Java 程序员所需要掌握的核心知识。准备 Java 面试，首选 JavaGuide！,2025-01-04T05:56:00Z
29,it-cert-automation-practice,google,https://github.com/google/it-cert-automation-practice,898,44955,Python,109,Google IT Automation with Python Professional Certificate - Practice files,2024-08-21T14:58:21Z
30,academicpages.github.io,academicpages,https://github.com/academicpages/academicpages.github.io,12928,44922,JavaScript,32,"Github Pages template for academic personal websites, forked from mmistakes/minimal-mistakes",2024-12-30T00:17:21Z
31,AutoGPT,Significant-Gravitas,https://github.com/Significant-Gravitas/AutoGPT,170344,44787,Python,163,"AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters.",2025-01-11T00:33:27Z
32,DO180-apps,RedHatTraining,https://github.com/RedHatTraining/DO180-apps,281,43471,JavaScript,0,DO180 Repository for Sample Applications,2024-06-12T07:37:41Z
33,patchwork,jlord,https://github.com/jlord/patchwork,1121,41445,Rich Text Format,27,All the Git-it Workshop completers!,2025-01-10T22:20:36Z
34,spring-boot,spring-projects,https://github.com/spring-projects/spring-boot,75828,40844,Java,556,"Spring Boot helps you to create Spring-powered, production-grade applications and services with absolute minimum fuss.",2025-01-11T08:26:37Z
35,qmk_firmware,qmk,https://github.com/qmk/qmk_firmware,18555,40090,C,310,Open-source keyboard firmware for Atmel AVR and Arm USB families,2025-01-11T01:30:32Z
36,kubernetes,kubernetes,https://github.com/kubernetes/kubernetes,112294,39999,Go,1859,Production-Grade Container Scheduling and Management,2025-01-10T19:14:31Z
37,developer-roadmap,kamranahmedse,https://github.com/kamranahmedse/developer-roadmap,304526,39870,TypeScript,121,"Interactive roadmaps, guides and other educational content to help developers grow in their careers.",2025-01-10T19:16:07Z
38,freeCodeCamp,freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,408703,38628,TypeScript,149,freeCodeCamp.org's open-source codebase and curriculum. Learn to code for free.,2025-01-11T09:41:01Z
